component,r_proj_score,w1_pole,w2_pole
C1,0.2398114949464798,"boys, whit, reptiles, manatees, pandas, animals, dolphin, dinosaur, dolphins, wildlife","reconciliation, reconciliations, presentment, inference, representation, statistic, statistics, statisticians, prediction, redundancies"
C2,0.29604557156562805,"inspections, carers, assessments, timetables, mediation, arbitration, negotiation, agreements, negotiations, jurisdiction","ringtones, music, remixes, remixer, songs, arousal, orgasm, eyelids, knees, waist"
C3,0.27845659852027893,"madonnas, sabbaths, priestess, goddess, furry, wig, coachbuilder, midgets, fours, skiffle","linkages, supervision, liaison, activities, coordination, orientations, placements, orientation, consultations, evaluations"
C4,0.29758647084236145,"opportunities, contribution, community, role, efforts, resources, primates, omnivores, scientists, humans","cays, fatimids, accordionist, parodist, minsters, glassblowing, regencies, annalists, crossbench, quoins"
C5,0.2736797034740448,"prows, biotechnologist, muralists, crossbench, hothouses, motorization, sakha, patroness, parodist, speyer","statement, findings, information, investigators, today, attention, others, volume, improvements, topics"
C6,0.283772349357605,"decryption, facility, execution, extraction, application, module, component, apparatuses, fabrication, terminal","mosques, primitivism, shamanism, polytheism, animism, dualism, oppressors, dominions, sheikhs, berbers"
C7,0.2576405107975006,"sister, briefly, retribution, driveway, hallway, rooftops, hallways, stairwell, stairs, midnight","conveniences, efficiencies, capacities, specs, options, specifications, availability, operators, architecture, infrastructures"
C8,0.26926836371421814,"laws, unemployment, households, income, incomes, household, conservationists, miners, supermarkets, landholders","music, songs, ringtones, remixer, remixes, inna, deejays, interplay, adaptation, characterization"
C9,0.26970088481903076,"transference, behaviors, gestalt, affective, behaviours, aptitudes, relational, communication, cognition, relationships","boys, whit, drunks, motorist, teenagers, sobriety, alcoholics, drinkers, goin, tuff"
C10,0.2689781188964844,"tutorials, plugins, templates, lessons, forums, basics, animations, housework, instructions, template","bearings, chassis, construction, ventilation, improvement, boiler, mobility, accessibility, footprint, longevity"
C11,0.2361232340335846,"atrocities, deportations, refugees, commemorations, extermination, dinars, dirhams, embezzlement, felonies, treasurer","teacher, pupils, pupil, graduation, students, kindergarten, math, teachers, chassis, construction"
C12,0.3097139596939087,"plaques, aspiration, ulceration, pathologies, postmenopausal, melanoma, smokers, mesothelioma, antigen, manifestations","music, songs, remixer, ringtones, remixes, inna, deejays, renaissance, history, teaser"
C13,0.2676790654659271,"boys, whit, booty, goin, tuff, wit, daddy, freestyle, pooh, rappers","timetables, carers, assessments, inspections, silos, discrepancies, redundancies, organisation, cohesion, reorganisation"
C14,0.27062103152275085,"formation, transformation, expansion, growth, developments, turnover, tourism, directors, designers, productions","accusation, denunciation, blasphemy, indictment, dismissal, allegations, inquiry, testimony, investigation, complainant"
C15,0.24140751361846924,"journalists, reporter, disclosure, documentation, providers, innovator, technologies, product, innovations, solutions","klansmen, cadillacs, etchings, woodcuts, engravings, motorization, melons, watermelons, sieges, thoroughfares"
