stratum,label,n_full,n_sampled,novel_r,novel_r2
freq_1,freq=1,168938,1416,0.13655,0.018646
freq_2_5,freq=2-5,36638,1416,0.183092,0.033523
freq_6_20,freq=6-20,5954,1416,0.127859,0.016348
freq_gt20,freq>20,1416,1416,0.124536,0.015509
