condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,18,words_only,pair_novel,3.7e-05,5.3e-05,10,9.0,15.0
default,18,words_only,word_novel,0.000403,0.000697,10,10.6,16.6
default,19,mean_pooled,pair_novel,2.1e-05,1.7e-05,10,12.7,18.7
default,19,mean_pooled,word_novel,0.000314,0.000439,10,15.0,21.0
default,19,words_only,pair_novel,4.1e-05,5.5e-05,10,7.8,13.8
default,19,words_only,word_novel,0.000212,0.000255,10,10.5,16.5
default,20,mean_pooled,pair_novel,4.6e-05,6.5e-05,10,13.2,19.2
default,20,mean_pooled,word_novel,0.000174,0.000217,10,15.1,21.1
default,20,words_only,pair_novel,3.1e-05,2.6e-05,10,9.5,15.5
default,20,words_only,word_novel,0.000314,0.000251,10,9.7,15.7
default,21,mean_pooled,pair_novel,2.1e-05,2.2e-05,10,12.1,18.1
default,21,mean_pooled,word_novel,0.000347,0.000329,10,12.7,18.7
default,21,words_only,pair_novel,2.4e-05,2.1e-05,10,8.8,14.8
default,21,words_only,word_novel,0.000313,0.00029,10,9.5,15.5
default,22,mean_pooled,pair_novel,3.3e-05,4.8e-05,10,10.5,16.5
default,22,mean_pooled,word_novel,0.000187,0.000138,10,12.5,18.5
default,22,words_only,pair_novel,3.5e-05,4.3e-05,10,8.0,14.0
default,22,words_only,word_novel,0.000132,0.000182,10,10.6,16.6
default,23,mean_pooled,pair_novel,2.8e-05,2.5e-05,10,11.6,17.6
default,23,mean_pooled,word_novel,0.000242,0.000337,10,12.4,18.4
default,23,words_only,pair_novel,3.5e-05,5.4e-05,10,7.4,13.4
default,23,words_only,word_novel,0.000352,0.000615,10,8.4,14.4
default,24,mean_pooled,pair_novel,4.2e-05,7.7e-05,10,9.1,15.1
default,24,mean_pooled,word_novel,0.00019,0.0002,10,12.1,18.1
default,24,words_only,pair_novel,4.2e-05,4.5e-05,10,7.0,13.0
default,24,words_only,word_novel,0.000215,0.000139,10,9.5,15.5
attn_zeroed,0,mean_pooled,pair_novel,1.1e-05,9e-06,10,24.3,30.3
attn_zeroed,0,mean_pooled,word_novel,0.000357,0.000708,10,29.4,35.4
attn_zeroed,0,words_only,pair_novel,2.4e-05,3.4e-05,10,15.9,21.9
attn_zeroed,0,words_only,word_novel,0.000237,0.000555,10,17.9,23.9
attn_zeroed,1,mean_pooled,pair_novel,2.5e-05,1.6e-05,10,15.9,21.9
attn_zeroed,1,mean_pooled,word_novel,0.000298,0.00048,10,22.5,28.5
attn_zeroed,1,words_only,pair_novel,2.7e-05,3e-05,10,9.5,15.5
attn_zeroed,1,words_only,word_novel,0.000478,0.00056,10,12.9,18.9
attn_zeroed,2,mean_pooled,pair_novel,5.5e-05,7.9e-05,10,19.4,25.4
attn_zeroed,2,mean_pooled,word_novel,0.000137,0.000216,10,25.2,31.2
attn_zeroed,2,words_only,pair_novel,3.6e-05,4.3e-05,10,11.8,17.8
attn_zeroed,2,words_only,word_novel,0.000425,0.000497,10,13.2,19.2
attn_zeroed,3,mean_pooled,pair_novel,1.4e-05,1.4e-05,10,21.3,27.3
attn_zeroed,3,mean_pooled,word_novel,0.000291,0.000213,10,28.4,34.4
attn_zeroed,3,words_only,pair_novel,2.1e-05,2.9e-05,10,12.5,18.5
attn_zeroed,3,words_only,word_novel,0.00057,0.000952,10,16.9,22.9
