fold,n_test,r,r2
1,5369,0.561301,0.315059
2,5369,0.567976,0.322597
3,5369,0.581767,0.338453
4,5369,0.587232,0.344842
5,5369,0.563098,0.31708
6,5368,0.568531,0.323227
7,5368,0.569145,0.323926
8,5368,0.577287,0.33326
9,5368,0.556157,0.309311
10,5368,0.564618,0.318794
