fold,n_train,n_test,r,r2
1,173079,2119,0.53568,0.286954
2,172985,2056,0.585871,0.343245
3,174629,1919,0.525835,0.276503
4,174752,1881,0.500428,0.250428
5,174944,1824,0.576473,0.332321
6,170398,2368,0.551988,0.304691
7,171297,2307,0.517254,0.267552
8,169751,2462,0.497356,0.247363
9,172473,2143,0.530017,0.280918
10,170689,2350,0.475222,0.225836
