stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,168938,0.373226,0.139298
freq_2_5,freq=2-5,36638,0.339712,0.115404
freq_6_20,freq=6-20,5954,0.221128,0.048898
freq_gt20,freq>20,1416,0.124536,0.015509
all,all,212946,0.372027,0.138404
