word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
viewpoints,-2.009258777142857,-2.8392302428571425,4.1743733999999995,-0.92839905,-4.144418785714286,-0.43685002571428555,-4.157925574285715,0.8332205971428571,-1.0968078785714286,-0.8064007214285714,0.9068910242857141,-0.47244981614285725,-2.2738576200000002,-1.1542586842857143,0.16592217142857146
cowboys,0.0865742622222222,-1.5755953635555555,4.701769401777778,-5.433787032888889,2.6111685655555554,-0.37222722733333335,8.214591269333333,4.86666605,0.5908902948888889,4.561696699111112,-3.664540635555556,-9.102547071111111,-0.25276824355555555,0.2239632322222223,0.03876780266666671
procession,-0.5138752285714286,3.311141842857143,1.1287401542857143,-0.34932870000000005,-4.574581185714286,1.373722385714286,0.8633712042857143,2.42414456,1.195820212857143,-0.8301938142857143,-1.0398531271428573,1.1460116114285714,-3.5009885000000005,-0.28609405567142865,2.668143622857143
screenings,7.000887708461539,-0.49420679492307695,5.055847719846154,-3.018564348,-2.968023043076923,8.394976097692307,-0.32963073107692314,-5.4280401469230775,-0.2816374030769232,1.1959111877384614,0.8064772723076924,-1.4415327256923076,-1.9168532838846153,-7.016028591538461,-4.140879295538461
propagation,-3.4284680171111113,-2.2024898661111108,-2.371024245666667,-4.416782024777778,5.735591112,7.393565832061112,2.415331193666667,-0.425204030888889,-2.9092168654444444,3.8453346986111114,2.281252869222222,-1.9669920509999999,-2.537763913,0.01455242999999995,2.2630417994444443
gunfire,8.97980057,-2.4691984049999998,3.007403266,-3.527174273,-2.08342357,4.936458602,-0.517704604,0.563293715,-5.7812587660000005,1.026129165,4.13528088,-2.7361494399999997,4.84348837,-2.9788811969999998,3.8293420719999998
defections,6.44667429,3.7590964049999998,0.6552939824999999,3.1534470624999997,5.53313745,-4.1835516575,3.1921963074999997,1.02911205,0.62151155,-5.0157446575,0.2006038375,2.9452566325,-2.2681959725,2.52682473,0.6643923805
histories,1.6499186044615386,2.987796154615385,-3.228475566038462,-0.3259803186153846,-4.717242632846154,-0.4238385216538463,0.027297403653846086,0.8462569809999999,-2.4555240143076924,2.781953632692308,-1.6525595153076924,2.741518094384615,2.658811756269231,4.0398139636153845,-0.14269452953846162
bodywork,7.921378851999999,1.89394534,-2.984379852,0.187268884,-8.29415602,6.98373464,0.291772004,0.323254296,4.91872274,6.39778086,-5.5803986000000005,0.7051121360000001,5.78021032,-3.1580822680000002,4.084614265999999
burghers,1.569442604,0.25174610599999997,0.778604085,-3.57105878,0.5243511,0.854718364,-2.85991804,0.7684121819999999,2.59784106,3.1776057399999997,-0.45522973,-1.4142665319999999,-1.158006926,-0.91689879,-2.65728665
deities,-1.5506761817692305,6.600040033076922,5.991698385384615,7.502280189153845,15.887180625,4.494702367307692,-4.760866026923077,-2.7930417026923076,0.6432937728846153,-3.273476556307692,3.671593184461538,1.4136391326923075,-3.2674506463461537,2.4981966875,-3.234268123846154
performance,-0.6320718178988269,-3.617004863752199,-0.9283454950790762,0.3219791642305572,-4.049468788870234,10.370272361068329,-2.425239681160997,-2.2749487037604106,-3.3776922266708214,-5.858995119881232,2.16023000439978,-7.296998881134897,10.060472716812317,2.632778808214956,1.852180521251019
