contrast,mean_diff,ci_lo,ci_hi,significant
freq_1_vs_freq_2_5,-0.002505,-0.020392,0.014568,False
freq_2_5_vs_freq_6_20,0.005908,-0.011409,0.022656,False
freq_6_20_vs_freq_gt20,0.006432,-0.006427,0.020001,False
freq_1_vs_freq_gt20,0.009835,-0.003214,0.023363,False
