fold,epoch,train_loss,val_loss
0,1,9.701958420851632,9.502498626708984
0,2,9.328825146394246,9.36933422088623
0,3,9.184403045636815,9.299182891845703
0,4,9.101611729043345,9.302925109863281
0,5,9.03427236490357,9.275090217590332
0,6,8.989305860543569,9.257514953613281
0,7,8.947754558907771,9.24052619934082
0,8,8.907106286996372,9.242535591125488
0,9,8.877402775125708,9.235594749450684
0,10,8.848587375087519,9.245935440063477
0,11,8.825182197186685,9.2390718460083
0,12,8.798981406339507,9.242476463317871
0,13,8.779874570364713,9.238424301147461
0,14,8.759277934249889,9.248366355895996
0,15,8.742304356820062,9.248626708984375
0,16,8.723067237922475,9.263311386108398
0,17,8.712448682451786,9.255824089050293
0,18,8.690453742600726,9.260540008544922
0,19,8.677126097956846,9.248674392700195
0,20,8.66656621952772,9.27322769165039
0,21,8.65103470498377,9.251769065856934
0,22,8.635157095347209,9.283493995666504
0,23,8.625597710203042,9.253186225891113
0,24,8.613685276239577,9.274828910827637
0,25,8.599397913881994,9.294182777404785
0,26,8.593488439628286,9.2844877243042
0,27,8.579897245560435,9.268220901489258
0,28,8.565479600280058,9.292316436767578
0,29,8.556469193558653,9.29033374786377
1,1,9.673206044090932,9.228302001953125
1,2,9.339386834912686,9.120013236999512
1,3,9.20705164399928,9.082582473754883
1,4,9.125556455704489,9.037466049194336
1,5,9.067194072110112,9.019718170166016
1,6,9.009093550023731,9.00586223602295
1,7,8.970799373169015,8.998369216918945
1,8,8.937012078362056,8.994735717773438
1,9,8.906454067854863,9.01526927947998
1,10,8.873922889969068,8.994014739990234
1,11,8.850230560874618,9.024129867553711
1,12,8.828648467291861,9.00363826751709
1,13,8.808446261108656,9.008264541625977
1,14,8.78732753964747,9.004494667053223
1,15,8.772338014107788,9.005897521972656
1,16,8.751749153041684,9.018803596496582
1,17,8.736664498126054,9.005244255065918
1,18,8.722774586340648,9.027938842773438
1,19,8.709771525834274,9.034456253051758
1,20,8.696685610710135,9.018760681152344
1,21,8.687132780150897,9.005472183227539
1,22,8.674093918266477,9.015275955200195
1,23,8.662528027364528,9.042949676513672
1,24,8.65369429305576,9.038900375366211
1,25,8.63830481497848,9.05158519744873
1,26,8.629872056103828,9.030306816101074
1,27,8.61534078820314,9.060850143432617
1,28,8.615265093860984,9.04233455657959
1,29,8.602318292662968,9.04536247253418
1,30,8.592594638385624,9.030708312988281
2,1,9.74405326226273,9.515624046325684
2,2,9.407264053058816,9.379383087158203
2,3,9.293041116513743,9.335071563720703
2,4,9.304723007751306,9.318312644958496
2,5,9.240252883852461,9.291738510131836
2,6,9.144465241185685,9.260774612426758
2,7,9.155462535348809,9.25085735321045
2,8,9.116247228043049,9.245231628417969
2,9,9.076517201391573,9.221500396728516
2,10,9.066536121905072,9.23370361328125
2,11,9.065287978353306,9.237090110778809
2,12,9.09721685349826,9.219056129455566
2,13,9.010131629808964,9.209959030151367
2,14,9.085722132931865,9.221270561218262
2,15,8.97189489959921,9.20830249786377
2,16,8.950269566455761,9.220497131347656
2,17,9.068686550159706,9.209248542785645
2,18,8.963129412243402,9.201369285583496
2,19,8.932322543893557,9.196442604064941
2,20,8.927964722397412,9.213715553283691
2,21,8.884499420177812,9.203163146972656
2,22,8.925451142351433,9.214447021484375
2,23,8.907991373873415,9.20969009399414
2,24,8.877798913596322,9.218025207519531
2,25,8.9180538319126,9.219610214233398
2,26,8.866208573230525,9.213006019592285
2,27,8.82950277704311,9.205049514770508
2,28,8.850866681586067,9.22575855255127
2,29,8.972950786320265,9.232616424560547
2,30,8.883875857017882,9.217327117919922
2,31,8.813961507944581,9.207088470458984
2,32,8.85941448131345,9.229828834533691
2,33,8.851438365918662,9.20952033996582
2,34,8.788127886395541,9.212556838989258
2,35,8.823834760848777,9.206130981445312
2,36,8.828023721848107,9.23267936706543
2,37,8.85631294122434,9.21328353881836
2,38,8.839668992736964,9.196523666381836
2,39,8.760697210750108,9.200840950012207
3,1,9.726804247645763,9.529776573181152
3,2,9.386383490282508,9.407432556152344
3,3,9.241828290923662,9.33596420288086
3,4,9.156665998797836,9.32217025756836
3,5,9.091078942095772,9.302824974060059
3,6,9.038428170707274,9.300929069519043
3,7,8.99344820677219,9.284140586853027
3,8,8.963083550390703,9.303422927856445
3,9,8.933263874974955,9.307716369628906
3,10,8.902311160088159,9.287264823913574
3,11,8.878018433179724,9.297653198242188
3,12,8.849134441995592,9.300084114074707
3,13,8.834890803446203,9.298688888549805
3,14,8.814871769184531,9.303985595703125
3,15,8.796095972750951,9.304500579833984
3,16,8.777910238429172,9.306418418884277
3,17,8.763211781206172,9.31966495513916
3,18,8.74746543778802,9.305827140808105
3,19,8.730509917852133,9.29930305480957
3,20,8.717083750751353,9.335766792297363
3,21,8.701329392907233,9.325897216796875
3,22,8.690415748347025,9.325338363647461
3,23,8.672952314165498,9.316838264465332
3,24,8.665887597675816,9.318952560424805
3,25,8.653747745942697,9.32791805267334
3,26,8.640955720296533,9.309974670410156
3,27,8.62673712682829,9.341859817504883
4,1,9.669409940412802,9.548728942871094
4,2,9.2987672034663,9.405887603759766
4,3,9.155148236365262,9.342825889587402
4,4,9.055095802882622,9.303523063659668
4,5,8.988702413566045,9.274129867553711
4,6,8.93599965044345,9.259784698486328
4,7,8.893680952419663,9.267844200134277
4,8,8.861670108037362,9.276700019836426
4,9,8.8286949346817,9.254453659057617
4,10,8.805293952671668,9.249349594116211
4,11,8.775106086348597,9.257561683654785
4,12,8.756543007649597,9.25223159790039
4,13,8.734205937583832,9.255498886108398
4,14,8.715849137895995,9.248327255249023
4,15,8.698241242795477,9.262704849243164
4,16,8.677200783657012,9.245712280273438
4,17,8.664101558371879,9.271613121032715
4,18,8.645814873224781,9.259979248046875
4,19,8.629721045743134,9.258506774902344
4,20,8.624237885426744,9.242277145385742
4,21,8.609661174022257,9.263455390930176
4,22,8.591529960248105,9.285724639892578
4,23,8.58038886133986,9.267085075378418
4,24,8.56620438490241,9.269996643066406
4,25,8.55668201734776,9.281835556030273
4,26,8.548091461878013,9.259130477905273
4,27,8.535496248363994,9.274693489074707
4,28,8.532835960426947,9.273240089416504
4,29,8.519572626470373,9.27287769317627
4,30,8.509036646533293,9.284981727600098
4,31,8.500823083739117,9.286860466003418
4,32,8.492324998170925,9.300114631652832
4,33,8.483406733434677,9.299797058105469
4,34,8.476900307284597,9.278376579284668
4,35,8.469671396519066,9.292646408081055
4,36,8.456169266662872,9.296907424926758
4,37,8.453026306162764,9.314423561096191
4,38,8.447989744986302,9.308836936950684
4,39,8.43855984733321,9.295605659484863
4,40,8.426403103737004,9.312674522399902
5,1,9.718072665685424,9.398152351379395
5,2,9.37175333185475,9.255142211914062
5,3,9.236296550194568,9.186609268188477
5,4,9.15210395790068,9.164556503295898
5,5,9.087631308345262,9.146774291992188
5,6,9.03477327257697,9.147104263305664
5,7,8.99167994031897,9.141684532165527
5,8,8.958288807790794,9.132600784301758
5,9,8.929705425731395,9.139747619628906
5,10,8.902583825634615,9.14493179321289
5,11,8.88207552876182,9.156778335571289
5,12,8.852454785571709,9.14303207397461
5,13,8.823826037865194,9.137161254882812
5,14,8.808104320825857,9.130424499511719
5,15,8.790469181603726,9.130148887634277
5,16,8.77033993991572,9.141663551330566
5,17,8.756808879569329,9.150581359863281
5,18,8.743798011976532,9.133359909057617
5,19,8.724911789019497,9.141891479492188
5,20,8.714918241022643,9.13929557800293
5,21,8.703354033510092,9.129693031311035
5,22,8.684909369518317,9.136017799377441
5,23,8.674549871968063,9.152715682983398
5,24,8.661881767042361,9.166409492492676
5,25,8.65143456257435,9.146537780761719
5,26,8.643093332258,9.160175323486328
5,27,8.628141823094138,9.149130821228027
5,28,8.620436719962902,9.166447639465332
5,29,8.61066596769966,9.155050277709961
5,30,8.599804423654657,9.155290603637695
5,31,8.59110026816138,9.160188674926758
5,32,8.58641550900256,9.166196823120117
5,33,8.575061999717725,9.184530258178711
5,34,8.564804322842107,9.179536819458008
5,35,8.564863802246103,9.152445793151855
5,36,8.551241002479989,9.164436340332031
5,37,8.541380527048007,9.166449546813965
5,38,8.534703711918059,9.171112060546875
5,39,8.532106780652056,9.15389347076416
5,40,8.523679859668931,9.154693603515625
5,41,8.515424320019356,9.174240112304688
6,1,9.682601402245874,9.317996978759766
6,2,9.336567510565702,9.21513843536377
6,3,9.198152732425104,9.1458740234375
6,4,9.106609773376872,9.114954948425293
6,5,9.048817007727823,9.111772537231445
6,6,8.99887115949936,9.09211254119873
6,7,8.953421333355049,9.089152336120605
6,8,8.915154760062865,9.087878227233887
6,9,8.885744851510141,9.089797973632812
6,10,8.855652956361,9.077679634094238
6,11,8.830824572689592,9.08984375
6,12,8.808630489483155,9.0967378616333
6,13,8.7857880100649,9.107819557189941
6,14,8.763750681986597,9.111978530883789
6,15,8.74544494027019,9.095849990844727
6,16,8.727768254847195,9.106202125549316
