fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.042511,0.001807,-0.030564,0.000934,-0.039592,0.488658,22
1,271560,3838,0.033912,0.00115,0.004982,2.5e-05,0.010154,0.507817,21
2,273072,3787,0.048587,0.002361,-0.011515,0.000133,-0.008977,0.493795,24
3,277277,3203,0.04933,0.002433,0.011608,0.000135,0.006115,0.497034,23
4,273362,3746,0.038387,0.001474,-0.012557,0.000158,-0.009774,0.497064,22
5,275538,3408,0.060181,0.003622,0.035581,0.001266,0.045673,0.518192,24
6,272895,3839,0.043776,0.001916,0.008427,7.1e-05,0.001313,0.49466,22
7,278245,3162,0.051272,0.002629,0.023286,0.000542,0.020091,0.503479,24
8,276139,3294,0.028738,0.000826,0.015586,0.000243,0.029078,0.514572,21
9,277479,3174,0.052545,0.002761,-0.015919,0.000253,-0.016463,0.504096,23
