fold,n_test,r,r2,acc
1,34005,0.337977,0.114228,0.604352
2,34005,0.341936,0.11692,0.607175
3,34004,0.338929,0.114873,0.599782
4,34004,0.339356,0.115163,0.604811
5,34004,0.332826,0.110773,0.6019
6,34004,0.335628,0.112646,0.603194
7,34004,0.338893,0.114848,0.607723
8,34004,0.336975,0.113552,0.602635
9,34004,0.346207,0.119859,0.608899
10,34004,0.338169,0.114358,0.602723
