fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.479672,0.230086,0.316291,0.10004,0.287027,0.551724,28
1,40129,499,0.522374,0.272874,0.366425,0.134267,0.316873,0.667335,35
2,39267,606,0.474692,0.225332,0.184469,0.034029,0.187098,0.60066,27
3,39663,515,0.483905,0.234164,0.353035,0.124634,0.368009,0.582524,29
4,39495,529,0.49079,0.240875,0.386091,0.149066,0.362951,0.587902,30
5,39622,526,0.507858,0.25792,0.457496,0.209302,0.451602,0.608365,33
6,38849,632,0.487765,0.237915,0.400561,0.160449,0.377447,0.648734,31
7,39802,470,0.477437,0.227946,0.44472,0.197776,0.395957,0.582979,28
8,39986,528,0.501018,0.251019,0.359517,0.129253,0.329996,0.537879,31
9,39933,514,0.496402,0.246415,0.350897,0.123129,0.36079,0.661479,30
