fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.064308,0.004135,-0.00412,1.7e-05,-0.014239,0.48477,22
1,271560,3838,0.045569,0.002077,0.002649,7e-06,-0.00841,0.496352,21
2,273072,3787,0.058982,0.003479,-0.030771,0.000947,-0.027959,0.496963,22
3,277277,3203,0.046773,0.002188,0.041392,0.001713,0.040085,0.523259,21
4,273362,3746,0.06445,0.004154,-0.024476,0.000599,-0.022504,0.496263,22
5,275538,3408,0.044682,0.001996,0.017141,0.000294,0.010722,0.487676,21
6,272895,3839,0.06399,0.004095,0.003808,1.5e-05,-0.001967,0.507424,22
7,278245,3162,0.065236,0.004256,0.001908,4e-06,-0.001446,0.49747,22
8,276139,3294,0.047018,0.002211,0.018128,0.000329,0.013845,0.500911,21
9,277479,3174,0.046839,0.002194,0.011224,0.000126,0.014966,0.506616,21
