fold,n_test,r,r2,acc
1,34005,-0.002774,8e-06,0.496192
2,34005,-0.00991,9.8e-05,0.493722
3,34004,0.000446,0.0,0.502176
4,34004,0.00482,2.3e-05,0.498618
5,34004,-0.003234,1e-05,0.498588
6,34004,0.0013,2e-06,0.498294
7,34004,0.00841,7.1e-05,0.498765
8,34004,-0.005787,3.3e-05,0.497412
9,34004,-0.000999,1e-06,0.496853
10,34004,-0.004302,1.9e-05,0.500882
