fold,n_train,n_test,r,r2,acc
1,279306,3086,0.25877,0.066962,0.572262
2,271560,3838,0.219364,0.048121,0.56123
3,273072,3787,0.305903,0.093577,0.592025
4,277277,3203,0.21157,0.044762,0.556353
5,273362,3746,0.226595,0.051345,0.562734
6,275538,3408,0.267508,0.071561,0.566901
7,272895,3839,0.283259,0.080236,0.583225
8,278245,3162,0.260389,0.067802,0.575901
9,276139,3294,0.209129,0.043735,0.566485
10,277479,3174,0.274853,0.075544,0.592313
