fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.400732,0.160587,0.246175,0.060602,0.223326,0.563837,29
1,271560,3838,0.40157,0.161258,0.209111,0.043727,0.205943,0.57087,30
2,273072,3787,0.396139,0.156926,0.275184,0.075726,0.2483,0.584104,39
3,277277,3203,0.395349,0.156301,0.230371,0.053071,0.21658,0.576023,27
4,273362,3746,0.43009,0.184977,0.210218,0.044192,0.196282,0.563267,40
5,275538,3408,0.425758,0.18127,0.252797,0.063906,0.247176,0.566608,41
6,272895,3839,0.406787,0.165476,0.267057,0.071319,0.254353,0.594686,30
7,278245,3162,0.415595,0.172719,0.255624,0.065344,0.246922,0.57685,33
8,276139,3294,0.433027,0.187513,0.202388,0.040961,0.191475,0.555556,46
9,277479,3174,0.409892,0.168011,0.24857,0.061787,0.241131,0.591682,31
