fold,n_train,n_test,r,r2,acc
1,40166,493,0.299397,0.089639,0.521298
2,40129,499,0.370539,0.137299,0.655311
3,39267,606,0.202338,0.040941,0.523102
4,39663,515,0.353044,0.12464,0.6
5,39495,529,0.364743,0.133037,0.652174
6,39622,526,0.435848,0.189963,0.610266
7,38849,632,0.337735,0.114065,0.556962
8,39802,470,0.448242,0.200921,0.659574
9,39986,528,0.380876,0.145066,0.535985
10,39933,514,0.342953,0.117617,0.585603
