fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.563143,0.31713,0.321159,0.103143,0.263594,0.565923,42
1,40129,499,0.520868,0.271303,0.378029,0.142906,0.318837,0.607214,31
2,39267,606,0.565735,0.320056,0.22163,0.04912,0.226622,0.580858,42
3,39663,515,0.573144,0.328494,0.377776,0.142714,0.354503,0.609709,46
4,39495,529,0.570395,0.32535,0.397397,0.157925,0.363927,0.599244,45
5,39622,526,0.539884,0.291475,0.452767,0.204998,0.452084,0.63308,36
6,38849,632,0.546248,0.298387,0.36315,0.131878,0.38227,0.615506,41
7,39802,470,0.523997,0.274573,0.452947,0.205161,0.412554,0.62766,33
8,39986,528,0.548085,0.300397,0.358001,0.128165,0.323806,0.577652,37
9,39933,514,0.549273,0.301701,0.360136,0.129698,0.338137,0.601167,37
