fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.52727,0.278013,0.461205,0.21271,0.423456,0.64317,98
1,306037,34005,0.523149,0.273685,0.470441,0.221314,0.428893,0.645993,88
2,306038,34004,0.534669,0.285871,0.467326,0.218393,0.419075,0.635278,136
3,306038,34004,0.53062,0.281558,0.462204,0.213632,0.419747,0.637454,112
4,306038,34004,0.533926,0.285077,0.463767,0.21508,0.4222,0.638748,119
5,306038,34004,0.5302,0.281112,0.462163,0.213595,0.42044,0.638513,112
6,306038,34004,0.524221,0.274807,0.464041,0.215334,0.417488,0.637425,85
7,306038,34004,0.537186,0.288569,0.474263,0.224925,0.430079,0.643689,165
8,306038,34004,0.518458,0.268799,0.470428,0.221302,0.426379,0.637219,70
9,306038,34004,0.534664,0.285865,0.466169,0.217314,0.42182,0.639278,128
