fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.036648,0.001343,-0.006268,3.9e-05,-0.006484,0.498574,22
1,306037,34005,0.049079,0.002409,-0.002265,5e-06,-0.003051,0.499338,23
2,306038,34004,0.026931,0.000725,-0.001077,1e-06,-0.001441,0.49903,21
3,306038,34004,0.041019,0.001683,0.002616,7e-06,-0.000191,0.497441,22
4,306038,34004,0.041305,0.001706,0.004176,1.7e-05,-0.000486,0.499971,23
5,306038,34004,0.053674,0.002881,0.002928,9e-06,0.002453,0.494707,23
6,306038,34004,0.043957,0.001932,0.007349,5.4e-05,0.008294,0.503588,23
7,306038,34004,0.051858,0.002689,1.3e-05,0.0,-0.00082,0.500912,24
8,306038,34004,0.047535,0.00226,-0.001711,3e-06,-0.003173,0.497441,23
9,306038,34004,0.036388,0.001324,6.8e-05,0.0,0.002907,0.501,22
