fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.656418,0.430885,0.603746,0.36451,0.505153,155
1,306037,34005,0.645693,0.416919,0.600534,0.360641,0.496078,111
2,306038,34004,0.637698,0.406658,0.590388,0.348558,0.492646,80
3,306038,34004,0.643132,0.413619,0.595772,0.354944,0.489451,113
4,306038,34004,0.648058,0.419979,0.593532,0.35228,0.496987,115
5,306038,34004,0.634917,0.403119,0.587201,0.344805,0.491805,75
6,306038,34004,0.652692,0.426007,0.591358,0.349704,0.492353,147
7,306038,34004,0.648384,0.420401,0.587615,0.345292,0.490133,104
8,306038,34004,0.65281,0.426161,0.598434,0.358124,0.50524,147
9,306038,34004,0.659766,0.435292,0.602062,0.362479,0.501919,161
