fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.032831,0.001078,-0.013949,0.000195,0.001854,28
1,271560,3838,0.036417,0.001326,0.021471,0.000461,0.036379,28
2,273072,3787,0.027306,0.000746,-0.00703,4.9e-05,-0.001689,37
3,277277,3203,0.03297,0.001087,-0.021697,0.000471,-0.04262,26
4,273362,3746,0.023601,0.000557,-0.022459,0.000504,-0.029797,24
5,275538,3408,0.02047,0.000419,0.011976,0.000143,0.015733,24
6,272895,3839,0.033126,0.001097,0.020398,0.000416,0.018992,27
7,278245,3162,0.031547,0.000995,0.003701,1.4e-05,-0.012309,25
8,276139,3294,0.028952,0.000838,0.037658,0.001418,0.035608,27
9,277479,3174,0.029858,0.000892,0.017909,0.000321,0.012252,29
