fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.592193,0.350693,0.531131,0.2821,0.443052,49
1,306037,34005,0.577522,0.333531,0.527708,0.278476,0.431112,40
2,306038,34004,0.592003,0.350467,0.517364,0.267666,0.425861,49
3,306038,34004,0.591202,0.34952,0.526932,0.277657,0.423927,53
4,306038,34004,0.555519,0.308601,0.518152,0.268481,0.43506,31
5,306038,34004,0.5805,0.33698,0.509848,0.259945,0.4246,42
6,306038,34004,0.585132,0.342379,0.511249,0.261375,0.427692,46
7,306038,34004,0.577684,0.333719,0.506172,0.25621,0.419185,42
8,306038,34004,0.58505,0.342284,0.516433,0.266703,0.427401,46
9,306038,34004,0.596683,0.35603,0.517257,0.267555,0.425392,53
