fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.049732,0.002473,-0.021523,0.000463,-0.012257,21
1,271560,3838,0.074524,0.005554,-0.000271,0.0,0.006358,22
2,273072,3787,0.06891,0.004749,0.005494,3e-05,0.005703,22
3,277277,3203,0.052377,0.002743,-0.006934,4.8e-05,-0.006896,21
4,273362,3746,0.065073,0.004235,0.005728,3.3e-05,0.005523,22
5,275538,3408,0.044542,0.001984,-0.023291,0.000542,-0.039619,21
6,272895,3839,0.048362,0.002339,0.006947,4.8e-05,0.013828,21
7,278245,3162,0.047215,0.002229,-0.010129,0.000103,-0.01016,21
8,276139,3294,0.043721,0.001911,0.011683,0.000136,0.01221,21
9,277479,3174,0.048496,0.002352,0.018672,0.000349,0.018732,21
