fold,n_train,n_test,r,r2
1,40166,493,0.054435,0.002963
2,40129,499,-0.068689,0.004718
3,39267,606,-0.047197,0.002228
4,39663,515,-0.03225,0.00104
5,39495,529,0.045911,0.002108
6,39622,526,0.012467,0.000155
7,38849,632,-0.021055,0.000443
8,39802,470,-0.103139,0.010638
9,39986,528,-0.008263,6.8e-05
10,39933,514,0.030351,0.000921
