fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.594642,0.353599,0.405521,0.164447,0.338299,48
1,274736,3540,0.572207,0.327421,0.389429,0.151655,0.336243,35
2,274364,3622,0.60102,0.361225,0.363105,0.131845,0.327026,53
3,276327,3357,0.578263,0.334388,0.448683,0.201317,0.400615,41
4,270348,4056,0.578789,0.334997,0.430103,0.184988,0.369529,40
5,279295,2991,0.592304,0.350824,0.423407,0.179274,0.354366,47
6,278054,3168,0.58652,0.344006,0.429409,0.184392,0.35131,49
7,271738,3799,0.575882,0.33164,0.38434,0.147717,0.347665,40
8,276418,3335,0.588943,0.346854,0.3837,0.147226,0.332542,49
9,277417,3244,0.585881,0.343256,0.408727,0.167058,0.359834,42
