fold,n_test,r,r2
1,34005,-0.000798,1e-06
2,34005,-0.006074,3.7e-05
3,34004,-0.004393,1.9e-05
4,34004,0.005743,3.3e-05
5,34004,0.003841,1.5e-05
6,34004,-0.006196,3.8e-05
7,34004,0.002496,6e-06
8,34004,-0.003469,1.2e-05
9,34004,-0.003719,1.4e-05
10,34004,0.003006,9e-06
