component,r_proj_score,w1_pole,w2_pole
C1,0.2847948670387268,"booty, bare, fist, butt, brazilian, ass, hole, guy, midget, fucking","hydrometers, doxing, reclusion, psychokinesis, parodist, lappets, chronics, polyglots, omnisexual, defrocked"
C2,0.17888255417346954,"cambrian, yellowknife, hermitage, renfrew, laval, tyne, witt, cantor, erskine, burroughs","increased, exceeded, tripled, significant, reduced, doubled, risen, combined, widened, accelerated"
C3,0.19227252900600433,"structured, empirical, assumptions, constructivist, conceptual, illustrates, epistemology, blueprint, guiding, model","bare, fist, brazilian, booty, hole, ass, butt, bang, gay, boys"
C4,0.21035757660865784,"crossbench, snps, ncos, paxman, sharecropping, landholding, collectivisation, fumigations, bioregionalism, megacity","right, sometimes, else, sure, out, see, awful, end, couple, spots"
C5,0.2592615783214569,"much, turn, real, spot, few, matter, end, same, luck, thing","crossbench, hothouses, castillian, refoundation, protectress, tteok, topographer, exonyms, hydrographer, ncos"
C6,0.18814292550086975,"inches, pounds, weighs, chafing, arched, leg, quiver, forearms, groin, hands","academic, encyclopedic, tome, lecture, chapter, geography, microeconomics, mathematics, course, textbook"
C7,0.20618250966072083,"orientalism, syncretism, positivistic, universalism, fetishism, anthropomorphism, holism, metacognition, technophobia, territoriality","really, game, awful, called, way, turn, know, type, right, re"
C8,0.1300283968448639,"exhumed, deceased, lived, soldier, captured, crashed, fired, crew, travelled, downed","profundity, pretension, irreverence, graciousness, humbleness, erudition, meekness, condescension, pretensions, lordship"
C9,0.1305237114429474,"skits, entertaining, heartwarming, inimitable, hilarity, comedies, funny, humorous, laughs, adventures","reclamation, redevelopment, remediation, mitigations, stormwater, mitigation, retrofitting, abatement, sequestration, mitigating"
C10,0.1486615091562271,"space, technology, distribution, lighting, networks, gates, enclosures, auxiliary, paths, compatible","hilarous, swung, stilled, dismounted, ducked, panted, bared, swerved, unhooked, leaped"
C11,0.17109517753124237,"matts, weres, moviemaker, fenian, skippy, rasta, roadie, smurf, throwed, salutes","space, modular, appliances, programs, connected, deployed, configuration, operating, cables, manifold"
C12,0.11760439723730087,"analyzed, research, quantitative, studies, study, analyze, observations, profiles, analytical, analytic","moviemaker, fenian, roughneck, drumrolls, transylvanian, anchorite, newspaperman, moonshiner, cliffy, jungly"
C13,0.16129082441329956,"attainder, prohibition, prohibitions, uncleanness, filthiness, outlawed, proscriptions, usury, legislated, infirmities","demos, widgets, uploading, pointers, animations, forums, programming, tips, customizing, basics"
C14,0.1584218144416809,"interview, podcast, penned, documentary, commentator, chronicle, highlights, narration, commentary, narrated","decreasing, cuts, flow, substantially, increases, extends, decreases, accelerates, factor, circulation"
C15,0.1358923614025116,"cuts, flow, factor, decreases, permits, increases, changes, extends, decreasing, substantially","mascots, cartoonists, renderings, portrayals, drawn, cartoony, effigies, puppets, artworks, satires"
