fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.663381,0.440075,0.463996,0.215293,0.382307,166
1,274736,3540,0.649898,0.422368,0.459851,0.211463,0.396766,123
2,274364,3622,0.654218,0.428001,0.450223,0.202701,0.395128,110
3,276327,3357,0.647764,0.419598,0.499354,0.249354,0.424671,103
4,270348,4056,0.64229,0.412536,0.504004,0.25402,0.437199,89
5,279295,2991,0.652396,0.42562,0.463395,0.214735,0.390444,111
6,278054,3168,0.648353,0.420362,0.482669,0.23297,0.40363,127
7,271738,3799,0.651539,0.424503,0.430835,0.185619,0.370288,107
8,276418,3335,0.646949,0.418543,0.432472,0.187032,0.378046,116
9,277417,3244,0.647419,0.419152,0.448987,0.201589,0.38839,100
