fold,n_train,n_test,r,r2
1,279306,3086,-0.044886,0.002015
2,271560,3838,-0.014617,0.000214
3,273072,3787,0.000855,1e-06
4,277277,3203,-0.01028,0.000106
5,273362,3746,0.013416,0.00018
6,275538,3408,0.019603,0.000384
7,272895,3839,-0.00598,3.6e-05
8,278245,3162,-0.005504,3e-05
9,276139,3294,-0.005087,2.6e-05
10,277479,3174,-0.005449,3e-05
