stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,34867,398,0.008341,0.000367,0.021026
freq_2_5,freq=2-5,12118,398,0.008457,0.000603,0.023296
freq_6_20,freq=6-20,1567,398,0.008136,0.000949,0.019921
freq_gt20,freq>20,398,398,0.006207,0.000951,0.014184
