fold,epoch,train_loss
0,1,7.029932328907048
0,2,6.548559116445352
0,3,6.367987104187947
0,4,6.234818054136874
0,5,6.114141343207354
0,6,6.029608018386108
0,7,5.951418539325843
0,8,5.885015321756895
0,9,5.81002808988764
0,10,5.739487359550562
0,11,5.688175434116445
0,12,5.624924029622063
0,13,5.598636363636364
0,14,5.530847803881512
0,15,5.484006639427988
0,16,5.4494848059244125
0,17,5.408393130745659
0,18,5.349161772216547
0,19,5.319253383554647
0,20,5.265971973953013
0,21,5.242570224719101
0,22,5.195165985699694
0,23,5.164369254341165
0,24,5.125237487231869
0,25,5.105808861082737
0,26,5.048219803370786
0,27,5.030784601634321
0,28,5.006242658324822
0,29,4.97744350102145
0,30,4.939661006128703
0,31,4.913266407048008
0,32,4.884780068947906
0,33,4.850363253319714
0,34,4.823239593973442
0,35,4.814235827374873
0,36,4.769422561287028
0,37,4.762596080183861
0,38,4.731687308478039
0,39,4.703982060776302
0,40,4.666948097548519
0,41,4.6571657941777325
0,42,4.643683286516854
0,43,4.656737742594484
0,44,4.6019666113381
0,45,4.581822331460674
0,46,4.563278217568948
0,47,4.542523621041879
0,48,4.530681818181818
0,49,4.508611784984678
0,50,4.488068820224719
0,51,4.47065085546476
0,52,4.454324565883555
0,53,4.445594675689479
0,54,4.414923710418795
0,55,4.393042326353422
0,56,4.388207673646578
0,57,4.364859869765066
0,58,4.349498531664964
0,59,4.345132469356487
0,60,4.330194075587334
0,61,4.310968462717058
0,62,4.292239849336057
0,63,4.273093398876404
0,64,4.265725549029622
0,65,4.249352017364658
0,66,4.2381731996935645
0,67,4.227604060265577
0,68,4.216062308478039
0,69,4.199563329928498
0,70,4.189196246169561
0,71,4.1651168283963225
0,72,4.160102464249234
0,73,4.147085993360572
0,74,4.135204609295199
0,75,4.127794305413688
0,76,4.113462078651685
0,77,4.106042198672115
0,78,4.1063428881511745
0,79,4.075567862614913
0,80,4.0645365168539325
0,81,4.053666368743616
0,82,4.03603389938713
0,83,4.037846654749744
0,84,4.039612487231869
0,85,4.0105988253319715
0,86,4.007291241062308
0,87,3.987412857507661
0,88,3.986179775280899
0,89,3.968282686414709
0,90,3.9760256001021452
0,91,3.9601912027579163
0,92,3.9469503319713994
0,93,3.9403782558733402
0,94,3.9359818692543413
0,95,3.9125041496424924
0,96,3.9048863636363635
0,97,3.9004669943820223
0,98,3.8796897344228807
0,99,3.889598761491318
0,100,3.877609167517875
0,101,3.8709212206332992
0,102,3.8660619892747703
0,103,3.846016662410623
0,104,3.8371673901940757
0,105,3.8295473697650664
0,106,3.8174224336057203
0,107,3.8161121041879467
0,108,3.805375063840654
0,109,3.7982944969356485
0,110,3.7936510469867213
0,111,3.790361338100102
0,112,3.7684074948927475
0,113,3.773680413687436
0,114,3.7651072522982636
0,115,3.7524728677221653
0,116,3.7485565628192035
0,117,3.741579417773238
0,118,3.7376793922369766
0,119,3.7254609295199184
0,120,3.7109681435137896
0,121,3.7149131767109296
0,122,3.712038751276813
0,123,3.6997704928498467
0,124,3.686646450459653
0,125,3.6920604570990805
0,126,3.672426264044944
0,127,3.665223442288049
0,128,3.667379021961185
0,129,3.6621086567926455
0,130,3.6600402196118487
0,131,3.6574837206332993
0,132,3.6408123723186927
0,133,3.642108975995914
0,134,3.6396760086823288
0,135,3.6283589759959143
0,136,3.617855273237998
0,137,3.613522408069459
0,138,3.606232443820225
0,139,3.609668028600613
0,140,3.5925357507660878
0,141,3.5765293028600613
0,142,3.5740889938712974
0,143,3.5718906409601634
0,144,3.5733554647599592
0,145,3.5578728294177733
0,146,3.557985827374872
0,147,3.5578262257405515
0,148,3.549841675178754
0,149,3.5390069586312562
0,150,3.5316975229826353
0,151,3.5375159601634323
0,152,3.538232890704801
0,153,3.516424604187947
0,154,3.5187081843718078
0,155,3.505067032686415
0,156,3.5074888278855973
0,157,3.5045160878447397
0,158,3.499844228804903
0,159,3.5005720122574053
0,160,3.4881920326864146
0,161,3.479291368743616
0,162,3.476964057711951
0,163,3.4860396450459654
0,164,3.4714900408580185
0,165,3.4656514938712975
0,166,3.458138406537283
0,167,3.4577030132788558
0,168,3.4519353294177733
0,169,3.442945926966292
0,170,3.437540858018386
0,171,3.4269752298263536
0,172,3.4282571501532177
0,173,3.4240273876404492
0,174,3.4217339121552603
0,175,3.4283426966292136
0,176,3.4117326353421857
0,177,3.419742083758938
0,178,3.407987742594484
0,179,3.3950574565883556
0,180,3.3969876787538302
0,181,3.3889587589376915
0,182,3.382096527068437
0,183,3.384735380490296
0,184,3.3753699565883553
0,185,3.3789140704800817
0,186,3.3727799412665984
0,187,3.370164708886619
0,188,3.360536899897855
0,189,3.363143513789581
0,190,3.3736006128702756
0,191,3.3502601506639427
0,192,3.349701864147089
0,193,3.3358468462717057
0,194,3.3418165858018387
0,195,3.3348997701736467
0,196,3.340584141981614
0,197,3.323688712972421
0,198,3.3372353804902963
0,199,3.3259218590398367
0,200,3.307633746169561
