fold,n_test,r,r2
1,34005,0.481482,0.231825
2,34005,0.485406,0.235619
3,34004,0.474273,0.224935
4,34004,0.479355,0.229781
5,34004,0.476946,0.227477
6,34004,0.468564,0.219552
7,34004,0.47838,0.228848
8,34004,0.461232,0.212735
9,34004,0.473795,0.224482
10,34004,0.476011,0.226586
