fold,n_train,n_test,r,r2
1,279306,3086,0.438387,0.192183
2,271560,3838,0.427378,0.182652
3,273072,3787,0.447063,0.199865
4,277277,3203,0.368234,0.135596
5,273362,3746,0.422347,0.178377
6,275538,3408,0.367305,0.134913
7,272895,3839,0.390058,0.152145
8,278245,3162,0.437182,0.191128
9,276139,3294,0.422807,0.178766
10,277479,3174,0.418074,0.174786
