fold,n_train,n_test,r,r2
1,40166,493,0.242906,0.059003
2,40129,499,0.393731,0.155024
3,39267,606,0.241009,0.058085
4,39663,515,0.440316,0.193878
5,39495,529,0.406076,0.164898
6,39622,526,0.428584,0.183684
7,38849,632,0.397005,0.157613
8,39802,470,0.429791,0.18472
9,39986,528,0.423774,0.179584
10,39933,514,0.374911,0.140558
