fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.531733,0.28274,0.367204,0.134838,0.309587,0.586207,38
1,40129,499,0.568091,0.322728,0.366328,0.134197,0.36239,0.60521,45
2,39267,606,0.59995,0.359941,0.339353,0.11516,0.307187,0.584158,58
3,39663,515,0.584367,0.341485,0.507179,0.25723,0.407651,0.631068,55
4,39495,529,0.558331,0.311734,0.415929,0.172997,0.42892,0.648393,44
5,39622,526,0.587578,0.345248,0.474131,0.2248,0.432145,0.657795,56
6,38849,632,0.590819,0.349067,0.437441,0.191355,0.409564,0.607595,64
7,39802,470,0.583987,0.341041,0.486493,0.236676,0.4221,0.648936,51
8,39986,528,0.589058,0.346989,0.417472,0.174283,0.385587,0.63447,55
9,39933,514,0.574974,0.330595,0.432191,0.186789,0.399011,0.63035,51
