fold,epoch,train_loss,val_loss
0,1,8.308470781466113,8.591687202453613
0,2,8.296002766251728,8.571847915649414
0,3,8.268826071922545,8.589701652526855
0,4,8.25363070539419,8.579959869384766
0,5,8.259521092669432,8.598358154296875
0,6,8.236711618257262,8.597668647766113
0,7,8.245391597510373,8.593086242675781
0,8,8.22963347164592,8.57311725616455
0,9,8.22055152143845,8.581836700439453
0,10,8.219915283540802,8.565865516662598
0,11,8.197173236514523,8.601784706115723
0,12,8.209844398340248,8.594476699829102
0,13,8.189570366528354,8.592355728149414
0,14,8.186895746887966,8.579992294311523
0,15,8.16681794605809,8.608782768249512
0,16,8.16428336791148,8.6298246383667
0,17,8.159656811894882,8.630858421325684
0,18,8.151656293222683,8.627677917480469
0,19,8.14351919087137,8.647717475891113
0,20,8.115599930843707,8.662138938903809
0,21,8.116666666666667,8.63076114654541
0,22,8.082017634854772,8.661500930786133
0,23,8.060442600276625,8.661258697509766
0,24,8.036898340248962,8.68403148651123
0,25,8.032327109266943,8.72990894317627
0,26,8.022412690179806,8.721440315246582
0,27,7.988607365145228,8.749836921691895
0,28,7.965573132780083,8.767998695373535
0,29,7.935446058091286,8.801778793334961
0,30,7.917048755186722,8.773103713989258
1,1,8.415232092920231,8.17813491821289
1,2,8.368247639615694,8.17770004272461
1,3,8.352257074230971,8.175508499145508
1,4,8.329979649472548,8.169063568115234
1,5,8.330351704183625,8.147236824035645
1,6,8.304906622919955,8.137319564819336
1,7,8.303662402746628,8.160032272338867
1,8,8.310343813162776,8.147964477539062
1,9,8.280550017997065,8.141047477722168
1,10,8.26740696901736,8.130648612976074
1,11,8.271592151895229,8.105841636657715
1,12,8.252206370961042,8.108789443969727
1,13,8.244984183348562,8.136066436767578
1,14,8.240811113879891,8.117486000061035
1,15,8.219242323559543,8.148554801940918
1,16,8.221428793919761,8.13733959197998
1,17,8.197534229033419,8.124834060668945
1,18,8.191208433701581,8.138450622558594
1,19,8.160323566464546,8.16476821899414
1,20,8.132616738654926,8.153402328491211
1,21,8.146463230611623,8.18159294128418
1,22,8.088140626297866,8.17950439453125
1,23,8.10295359525985,8.214673042297363
1,24,8.084382008472465,8.205787658691406
1,25,8.06599904477116,8.221343994140625
1,26,8.035800315640834,8.215191841125488
1,27,8.000344366918625,8.245497703552246
1,28,7.998938346208157,8.244199752807617
1,29,7.988998428717778,8.250588417053223
1,30,7.945654054877204,8.286986351013184
1,31,7.915102306393111,8.287195205688477
2,1,8.42175253246937,8.17240047454834
2,2,8.414762598681419,8.159591674804688
2,3,8.38383446280524,8.149062156677246
2,4,8.37078304943267,8.167058944702148
2,5,8.362667475453438,8.13571548461914
2,6,8.3588466653462,8.162432670593262
2,7,8.357875767522142,8.12055778503418
2,8,8.35325913952633,8.136760711669922
2,9,8.341191887609293,8.15847110748291
2,10,8.329442962847684,8.17674446105957
2,11,8.319488165303754,8.194781303405762
2,12,8.315784075153504,8.175531387329102
2,13,8.298235406468407,8.192968368530273
2,14,8.30023998330551,8.179536819458008
2,15,8.299868601624176,8.182480812072754
2,16,8.292131483263066,8.158797264099121
2,17,8.267378894202201,8.188984870910645
2,18,8.259467580147703,8.190319061279297
2,19,8.24358836054441,8.210163116455078
2,20,8.240482018052687,8.209736824035645
2,21,8.210882898050423,8.240259170532227
2,22,8.195890573271837,8.219680786132812
2,23,8.187942121049206,8.252642631530762
2,24,8.183837469228376,8.278875350952148
2,25,8.153967771143996,8.289109230041504
2,26,8.135701982117087,8.295178413391113
2,27,8.126262697716534,8.279197692871094
3,1,8.391422073283469,8.391777038574219
3,2,8.361880900355771,8.409854888916016
3,3,8.33949981791187,8.387242317199707
3,4,8.313126803372832,8.388204574584961
3,5,8.302630473149003,8.387877464294434
3,6,8.303023538392582,8.391668319702148
3,7,8.2946921309914,8.394691467285156
3,8,8.279948244950557,8.393741607666016
3,9,8.279438748354204,8.38727855682373
3,10,8.27730884247976,8.386458396911621
3,11,8.266030758887302,8.38362979888916
3,12,8.256031669327955,8.380133628845215
3,13,8.243228597641258,8.400333404541016
3,14,8.225915343026024,8.354716300964355
3,15,8.213576245903017,8.373594284057617
3,16,8.198870878505197,8.373172760009766
3,17,8.192168634619156,8.409854888916016
3,18,8.172731602095414,8.43858528137207
3,19,8.152619617895061,8.410162925720215
3,20,8.119954933187662,8.418758392333984
3,21,8.120014461999608,8.459156036376953
3,22,8.096044485530998,8.469518661499023
3,23,8.088434427262795,8.497200012207031
3,24,8.060142483962238,8.492380142211914
3,25,8.03405748382217,8.489323616027832
3,26,8.009308380256044,8.522664070129395
3,27,7.990149732470516,8.51401138305664
3,28,7.977621543827213,8.503705024719238
3,29,7.947941178530408,8.511582374572754
3,30,7.931281865422864,8.609962463378906
3,31,7.894015078297897,8.609278678894043
3,32,7.8759909796341425,8.606201171875
3,33,7.841664740734515,8.683788299560547
3,34,7.815719808387259,8.627102851867676
4,1,8.344354850053453,8.5750150680542
4,2,8.309328053789455,8.599087715148926
4,3,8.298772189557193,8.585051536560059
4,4,8.295205508355371,8.583003997802734
4,5,8.30074146880099,8.584210395812988
4,6,8.273509150115343,8.580737113952637
4,7,8.26539026894728,8.594172477722168
4,8,8.260103984977212,8.573265075683594
4,9,8.24905755921904,8.578099250793457
4,10,8.251171017836043,8.59746265411377
4,11,8.239173359871716,8.584659576416016
4,12,8.237233092331063,8.61312198638916
4,13,8.231100194114669,8.60681438446045
4,14,8.217992179148146,8.59822940826416
4,15,8.196374064592359,8.618687629699707
4,16,8.188431891070726,8.644610404968262
4,17,8.180548620097902,8.642037391662598
4,18,8.166008481967028,8.658276557922363
4,19,8.147077026950994,8.682640075683594
4,20,8.155515036853654,8.659137725830078
4,21,8.130413759635402,8.659623146057129
4,22,8.099355412704664,8.68609619140625
4,23,8.093845826534631,8.687139511108398
4,24,8.070755148258595,8.744977951049805
4,25,8.051673359871716,8.748029708862305
4,26,8.025556673043381,8.81236743927002
4,27,8.020700289765374,8.81248950958252
4,28,7.987161002644461,8.8082914352417
5,1,8.380521768087492,8.375114440917969
5,2,8.362008377734156,8.39818000793457
5,3,8.340227145260796,8.373187065124512
5,4,8.31236329220415,8.354479789733887
5,5,8.312710319685923,8.364089012145996
5,6,8.285232052720135,8.374166488647461
5,7,8.284225147223781,8.364524841308594
5,8,8.27867971817162,8.370650291442871
5,9,8.262437780426248,8.379437446594238
5,10,8.2506108034212,8.38860034942627
5,11,8.243192652832304,8.362653732299805
5,12,8.23313849551318,8.361489295959473
5,13,8.21082532950084,8.382487297058105
5,14,8.219216208637128,8.381725311279297
5,15,8.205804823331464,8.361227035522461
5,16,8.175793080482332,8.35862922668457
5,17,8.170590297251822,8.34469985961914
5,18,8.154199383062254,8.37734603881836
5,19,8.146429823331465,8.355948448181152
5,20,8.133134113853057,8.357505798339844
5,21,8.111169727986539,8.340250968933105
5,22,8.090498808188446,8.36262035369873
5,23,8.08557031688166,8.380143165588379
5,24,8.043970835670219,8.421345710754395
5,25,8.032744146102075,8.430946350097656
5,26,8.018579991587213,8.456818580627441
5,27,8.015912436904093,8.468294143676758
5,28,7.97779725182277,8.482789993286133
5,29,7.941099095625351,8.524136543273926
5,30,7.948215787997756,8.454781532287598
5,31,7.9289426177790245,8.486011505126953
5,32,7.889298233314638,8.468467712402344
5,33,7.862869812114414,8.435042381286621
5,34,7.822768858665171,8.490809440612793
5,35,7.800313726864834,8.509450912475586
5,36,7.796058258553001,8.56495475769043
5,37,7.769926913909142,8.542407989501953
5,38,7.745846186203028,8.521523475646973
5,39,7.7062640213123945,8.589287757873535
5,40,7.725912261637689,8.516839027404785
5,41,7.661614028323051,8.560935020446777
6,1,8.332381488631489,8.483207702636719
6,2,8.304941548691549,8.506214141845703
6,3,8.285378235378236,8.474627494812012
6,4,8.271224796224796,8.499131202697754
6,5,8.287213999714,8.487271308898926
6,6,8.281322393822395,8.474244117736816
6,7,8.254733304733305,8.45835018157959
6,8,8.256782675532676,8.467952728271484
6,9,8.240800622050623,8.472623825073242
6,10,8.238000500500501,8.49711799621582
6,11,8.23301783926784,8.484861373901367
