stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,34867,398,0.006215,0.000179,0.016253
freq_2_5,freq=2-5,12118,398,0.006157,0.000296,0.016324
freq_6_20,freq=6-20,1567,398,0.009581,0.001223,0.022503
freq_gt20,freq>20,398,398,0.005613,0.000337,0.015109
