fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.026838,0.00072,-0.004897,2.4e-05,-0.009183,25
1,306037,34005,0.029704,0.000882,0.001776,3e-06,0.003307,26
2,306038,34004,0.024861,0.000618,-0.00497,2.5e-05,-0.00293,24
3,306038,34004,0.025191,0.000635,3.5e-05,0.0,-0.001421,24
4,306038,34004,0.021237,0.000451,-0.003357,1.1e-05,-0.001741,23
5,306038,34004,0.037215,0.001385,0.000842,1e-06,-8.7e-05,27
6,306038,34004,0.027297,0.000745,0.009213,8.5e-05,0.003338,25
7,306038,34004,0.028307,0.000801,0.000658,0.0,-0.000115,25
8,306038,34004,0.03523,0.001241,0.005369,2.9e-05,0.007661,27
9,306038,34004,0.024368,0.000594,-0.003299,1.1e-05,-0.002404,24
