fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.075812,0.005747,-0.027153,0.000737,-0.055323,0.464503,21
1,40129,499,0.090095,0.008117,0.003615,1.3e-05,0.000418,0.496994,21
2,39267,606,0.158609,0.025157,-0.03544,0.001256,-0.023152,0.486799,23
3,39663,515,0.125097,0.015649,0.08922,0.00796,0.052996,0.512621,22
4,39495,529,0.125908,0.015853,-0.004012,1.6e-05,0.009163,0.533081,22
5,39622,526,0.085252,0.007268,0.00879,7.7e-05,0.013251,0.490494,21
6,38849,632,0.130745,0.017094,0.019166,0.000367,-0.002187,0.495253,22
7,39802,470,0.080562,0.00649,-0.018211,0.000332,-0.009196,0.470213,21
8,39986,528,0.080568,0.006491,0.038933,0.001516,0.052954,0.515152,21
9,39933,514,0.118501,0.014042,-0.02848,0.000811,-0.013792,0.492218,22
