fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.028911,0.000836,0.005649,3.2e-05,0.006573,26
1,271560,3838,0.039187,0.001536,-0.003827,1.5e-05,-0.012337,27
2,273072,3787,0.022385,0.000501,0.016155,0.000261,0.027557,28
3,277277,3203,0.033273,0.001107,-0.027617,0.000763,-0.026722,26
4,273362,3746,0.025345,0.000642,-0.028839,0.000832,-0.024323,23
5,275538,3408,0.054221,0.00294,0.013707,0.000188,0.011395,32
6,272895,3839,0.025584,0.000655,-0.007706,5.9e-05,-0.000415,24
7,278245,3162,0.0316,0.000999,0.045295,0.002052,0.040074,27
8,276139,3294,0.027718,0.000768,-0.025417,0.000646,-0.012243,25
9,277479,3174,0.025538,0.000652,-0.015558,0.000242,-0.009626,24
