fold,n_test,r,r2
1,34005,0.44772,0.200453
2,34005,0.457561,0.209362
3,34004,0.439748,0.193378
4,34004,0.444858,0.197899
5,34004,0.440064,0.193657
6,34004,0.450282,0.202754
7,34004,0.445618,0.198575
8,34004,0.449041,0.201638
9,34004,0.451551,0.203898
10,34004,0.445948,0.19887
