contrast,mean_diff,ci_lo,ci_hi,significant
freq_1_vs_freq_2_5,5.8e-05,-0.010334,0.012756,False
freq_2_5_vs_freq_6_20,-0.003424,-0.017424,0.009518,False
freq_6_20_vs_freq_gt20,0.003969,-0.009104,0.01824,False
freq_1_vs_freq_gt20,0.000603,-0.01074,0.012216,False
