fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.634117,0.402105,0.436436,0.190476,0.387729,180
1,274736,3540,0.62406,0.389451,0.397951,0.158365,0.326328,123
2,274364,3622,0.624484,0.38998,0.402632,0.162113,0.359228,123
3,276327,3357,0.625666,0.391458,0.448966,0.201571,0.416508,160
4,270348,4056,0.619304,0.383537,0.448378,0.201043,0.391842,106
5,279295,2991,0.628849,0.395451,0.42463,0.180311,0.368701,138
6,278054,3168,0.614399,0.377486,0.474877,0.225508,0.402795,91
7,271738,3799,0.630973,0.398127,0.439265,0.192953,0.391802,201
8,276418,3335,0.626777,0.392849,0.384162,0.14758,0.344538,118
9,277417,3244,0.619081,0.383262,0.442007,0.19537,0.390206,92
