stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,34867,0.29936,0.089616
freq_2_5,freq=2-5,12118,0.271049,0.073467
freq_6_20,freq=6-20,1567,0.141845,0.02012
freq_gt20,freq>20,398,0.047483,0.002255
all,all,48950,0.307699,0.094679
