fold,n_train,n_test,r,r2
1,279306,3086,-0.024021,0.000577
2,271560,3838,0.008113,6.6e-05
3,273072,3787,-0.005483,3e-05
4,277277,3203,-0.015933,0.000254
5,273362,3746,-0.027924,0.00078
6,275538,3408,-0.009417,8.9e-05
7,272895,3839,0.002286,5e-06
8,278245,3162,0.016175,0.000262
9,276139,3294,-0.011804,0.000139
10,277479,3174,-0.01252,0.000157
