fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho
0,306037,34005,0.604084,0.364917,0.483725,0.23399,0.404823
1,306037,34005,0.605345,0.366443,0.493473,0.243516,0.408178
2,306038,34004,0.608995,0.370875,0.481436,0.231781,0.398834
3,306038,34004,0.609725,0.371765,0.487863,0.23801,0.411863
4,306038,34004,0.607037,0.368493,0.48336,0.233637,0.40346
5,306038,34004,0.611889,0.374408,0.491168,0.241246,0.40581
6,306038,34004,0.60965,0.371673,0.492439,0.242496,0.403477
7,306038,34004,0.609494,0.371483,0.486857,0.23703,0.403588
8,306038,34004,0.608833,0.370677,0.487911,0.238057,0.40627
9,306038,34004,0.609616,0.371631,0.488293,0.23843,0.400445
