fold,n_train,n_test,r,r2
1,40166,493,0.014898,0.000222
2,40129,499,-0.072831,0.005304
3,39267,606,0.037677,0.00142
4,39663,515,0.041142,0.001693
5,39495,529,0.06984,0.004878
6,39622,526,-0.039588,0.001567
7,38849,632,0.063461,0.004027
8,39802,470,0.051478,0.00265
9,39986,528,0.060579,0.00367
10,39933,514,-0.049293,0.00243
