fold,n_train,n_test,r,r2
1,279306,3086,0.405539,0.164462
2,271560,3838,0.450918,0.203327
3,273072,3787,0.391015,0.152893
4,277277,3203,0.32239,0.103935
5,273362,3746,0.372765,0.138954
6,275538,3408,0.346431,0.120014
7,272895,3839,0.378389,0.143178
8,278245,3162,0.399214,0.159371
9,276139,3294,0.42298,0.178912
10,277479,3174,0.386619,0.149474
