fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.525419,0.276066,0.373238,0.139307,0.311949,0.555781,30
1,40129,499,0.545668,0.297753,0.348442,0.121412,0.354464,0.691383,32
2,39267,606,0.532777,0.283851,0.309706,0.095918,0.280994,0.608911,30
3,39663,515,0.506769,0.256815,0.479698,0.230111,0.396978,0.565049,28
4,39495,529,0.523588,0.274144,0.417984,0.174711,0.425872,0.608696,30
5,39622,526,0.496023,0.246039,0.482889,0.233182,0.45532,0.61597,26
6,38849,632,0.513358,0.263537,0.383648,0.147186,0.36813,0.669304,29
7,39802,470,0.502194,0.252198,0.470351,0.22123,0.411561,0.597872,27
8,39986,528,0.523526,0.274079,0.418038,0.174756,0.373867,0.556818,29
9,39933,514,0.505573,0.255604,0.427627,0.182865,0.400536,0.677043,27
