fold,n_train,n_test,r,r2
1,40166,493,0.379318,0.143882
2,40129,499,0.372715,0.138916
3,39267,606,0.32019,0.102522
4,39663,515,0.46868,0.219661
5,39495,529,0.413412,0.17091
6,39622,526,0.489298,0.239413
7,38849,632,0.407979,0.166447
8,39802,470,0.461908,0.213359
9,39986,528,0.414518,0.171825
10,39933,514,0.42417,0.17992
