fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.073339,0.005379,-0.052761,0.002784,-0.070328,0.484787,30
1,40129,499,0.092018,0.008467,-0.008005,6.4e-05,-0.025647,0.480962,31
2,39267,606,0.056021,0.003138,-0.080447,0.006472,-0.080277,0.466997,27
3,39663,515,0.106199,0.011278,-0.044127,0.001947,-0.05736,0.481553,34
4,39495,529,0.066035,0.004361,0.024131,0.000582,0.021284,0.512287,28
5,39622,526,0.153428,0.02354,0.035765,0.001279,0.027103,0.486692,41
6,38849,632,0.050797,0.00258,0.063261,0.004002,0.051838,0.515823,27
7,39802,470,0.06264,0.003924,0.017182,0.000295,0.043168,0.517021,27
8,39986,528,0.046732,0.002184,-0.037289,0.00139,-0.01107,0.517045,26
9,39933,514,0.04428,0.001961,0.067789,0.004595,0.055113,0.511673,24
