fold,n_train,n_test,r,r2,acc
1,40166,493,0.298216,0.088933,0.551724
2,40129,499,0.37197,0.138361,0.681363
3,39267,606,0.241932,0.058531,0.628713
4,39663,515,0.335652,0.112662,0.514563
5,39495,529,0.352184,0.124034,0.701323
6,39622,526,0.355538,0.126408,0.655894
7,38849,632,0.292644,0.085641,0.522152
8,39802,470,0.426131,0.181588,0.665957
9,39986,528,0.268676,0.072187,0.647727
10,39933,514,0.3229,0.104265,0.638132
