fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.429858,0.184778,0.224584,0.050438,0.218521,0.569021,37
1,271560,3838,0.425049,0.180667,0.193755,0.037541,0.183307,0.574257,35
2,273072,3787,0.413328,0.17084,0.304656,0.092815,0.265799,0.591233,51
3,277277,3203,0.42844,0.183561,0.205347,0.042167,0.206663,0.582891,34
4,273362,3746,0.415718,0.172821,0.243324,0.059207,0.241214,0.572878,29
5,275538,3408,0.434121,0.188461,0.243343,0.059216,0.229622,0.568662,41
6,272895,3839,0.423939,0.179725,0.239034,0.057137,0.225779,0.580099,34
7,278245,3162,0.427628,0.182865,0.24923,0.062116,0.217746,0.56167,35
8,276139,3294,0.423674,0.179499,0.193217,0.037333,0.182505,0.570431,33
9,277479,3174,0.4235,0.179352,0.272909,0.074479,0.25379,0.594833,34
