fold,n_train,n_test,r,r2,acc
1,279306,3086,-0.008138,6.6e-05,0.48639
2,271560,3838,0.003793,1.4e-05,0.503908
3,273072,3787,-0.033489,0.001121,0.488513
4,277277,3203,0.001566,2e-06,0.501093
5,273362,3746,-0.014878,0.000221,0.491991
6,275538,3408,0.038858,0.00151,0.508509
7,272895,3839,0.019284,0.000372,0.511331
8,278245,3162,-0.00462,2.1e-05,0.492726
9,276139,3294,-0.001293,2e-06,0.505161
10,277479,3174,-0.024989,0.000624,0.481727
