fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.12077,0.014585,-0.030659,0.00094,-0.051203,0.476673,23
1,40129,499,0.120789,0.01459,-0.000494,0.0,-0.012395,0.486974,24
2,39267,606,0.09718,0.009444,0.064968,0.004221,0.077388,0.514852,23
3,39663,515,0.071257,0.005078,0.065149,0.004244,0.015195,0.471845,22
4,39495,529,0.083294,0.006938,0.032587,0.001062,0.061632,0.534972,22
5,39622,526,0.085517,0.007313,0.060857,0.003704,0.053567,0.509506,22
6,38849,632,0.037346,0.001395,-0.000469,0.0,0.006106,0.495253,21
7,39802,470,0.096164,0.009247,-0.030563,0.000934,-0.051139,0.461702,23
8,39986,528,0.098086,0.009621,0.046096,0.002125,0.055882,0.511364,24
9,39933,514,0.073188,0.005356,0.007897,6.2e-05,-0.002741,0.48249,22
