fold,n_train,n_test,r,r2,acc
1,40166,493,-0.05519,0.003046,0.513185
2,40129,499,-0.063764,0.004066,0.496994
3,39267,606,0.047975,0.002302,0.513201
4,39663,515,-0.015622,0.000244,0.495146
5,39495,529,0.044235,0.001957,0.533081
6,39622,526,0.050256,0.002526,0.520913
7,38849,632,-0.034491,0.00119,0.487342
8,39802,470,0.040299,0.001624,0.512766
9,39986,528,0.047871,0.002292,0.49053
10,39933,514,0.0207,0.000428,0.505837
