fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.041194,0.001697,-0.038512,0.001483,-0.036877,0.488982,22
1,271560,3838,0.04998,0.002498,0.003563,1.3e-05,0.000254,0.501563,24
2,273072,3787,0.049247,0.002425,-0.007403,5.5e-05,-0.006593,0.493795,26
3,277277,3203,0.051213,0.002623,-0.023425,0.000549,-0.023065,0.492351,24
4,273362,3746,0.045621,0.002081,-0.006302,4e-05,-0.009721,0.488788,23
5,275538,3408,0.037416,0.0014,-0.001762,3e-06,-0.00069,0.506455,22
6,272895,3839,0.04494,0.00202,-0.017949,0.000322,-0.007926,0.501172,23
7,278245,3162,0.050486,0.002549,0.008619,7.4e-05,0.010392,0.495256,24
8,276139,3294,0.022127,0.00049,0.024924,0.000621,0.018006,0.506072,21
9,277479,3174,0.038031,0.001446,-0.03038,0.000923,-0.022215,0.50189,22
