fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.076188,0.005805,-0.006289,4e-05,-0.008225,0.502661,23
1,306037,34005,0.043723,0.001912,0.00545,3e-05,0.00681,0.508955,21
2,306038,34004,0.07105,0.005048,-0.002869,8e-06,-0.000853,0.503029,23
3,306038,34004,0.061183,0.003743,-0.009555,9.1e-05,-0.008718,0.499941,22
4,306038,34004,0.0517,0.002673,0.000625,0.0,7.5e-05,0.502911,22
5,306038,34004,0.034409,0.001184,-0.007046,5e-05,-0.007869,0.496295,21
6,306038,34004,0.037933,0.001439,0.003881,1.5e-05,0.00123,0.502441,21
7,306038,34004,0.037711,0.001422,-0.00985,9.7e-05,-0.009685,0.498118,21
8,306038,34004,0.037782,0.001427,-0.007138,5.1e-05,-0.010897,0.502264,21
9,306038,34004,0.039204,0.001537,-0.00128,2e-06,-0.002303,0.506882,21
