fold,n_test,r,r2,acc
1,34005,0.34476,0.11886,0.606087
2,34005,0.340355,0.115842,0.599294
3,34004,0.338249,0.114412,0.600223
4,34004,0.341076,0.116333,0.598665
5,34004,0.337014,0.113579,0.598518
6,34004,0.336275,0.113081,0.604576
7,34004,0.338039,0.11427,0.601135
8,34004,0.332628,0.110642,0.598665
9,34004,0.339129,0.115008,0.60287
10,34004,0.346417,0.120005,0.604252
