fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.063327,0.00401,-0.037534,0.001409,-0.028785,0.489955,22
1,271560,3838,0.046125,0.002128,-0.007818,6.1e-05,-0.006939,0.504169,21
2,273072,3787,0.055526,0.003083,0.022748,0.000517,0.027737,0.509374,22
3,277277,3203,0.064894,0.004211,-0.013131,0.000172,-0.017685,0.49079,22
4,273362,3746,0.058404,0.003411,-0.005486,3e-05,-0.01716,0.498665,22
5,275538,3408,0.039372,0.00155,-0.01471,0.000216,-0.014734,0.493545,21
6,272895,3839,0.05473,0.002995,0.011052,0.000122,0.024157,0.517843,22
7,278245,3162,0.039737,0.001579,-0.034853,0.001215,-0.02243,0.48735,21
8,276139,3294,0.04025,0.00162,0.002118,4e-06,-0.010043,0.5,21
9,277479,3174,0.043599,0.001901,-0.014607,0.000213,-0.015122,0.492124,21
