fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.535078,0.286308,0.311275,0.096892,0.249704,0.565923,36
1,40129,499,0.50771,0.257769,0.384999,0.148224,0.372949,0.651303,31
2,39267,606,0.548029,0.300336,0.247624,0.061317,0.241557,0.60066,39
3,39663,515,0.515905,0.266158,0.357558,0.127848,0.318852,0.598058,33
4,39495,529,0.52606,0.276739,0.325402,0.105886,0.345103,0.644612,37
5,39622,526,0.521517,0.27198,0.403263,0.162621,0.342908,0.576046,36
6,38849,632,0.557979,0.311341,0.27469,0.075455,0.256313,0.59019,50
7,39802,470,0.530419,0.281344,0.435998,0.190094,0.36649,0.614894,35
8,39986,528,0.52414,0.274723,0.319367,0.101995,0.325121,0.587121,37
9,39933,514,0.517473,0.267778,0.306163,0.093736,0.290928,0.608949,34
