fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.55143,0.304075,0.488903,0.239026,0.422047,37
1,306037,34005,0.570483,0.325451,0.489169,0.239286,0.417814,46
2,306038,34004,0.559603,0.313156,0.495138,0.245161,0.429288,38
3,306038,34004,0.552299,0.305034,0.486998,0.237167,0.41662,36
4,306038,34004,0.570964,0.326,0.488804,0.23893,0.419069,46
5,306038,34004,0.554668,0.307657,0.490172,0.240269,0.421118,37
6,306038,34004,0.571009,0.326051,0.484442,0.234684,0.420421,46
7,306038,34004,0.561149,0.314888,0.480768,0.231138,0.413087,39
8,306038,34004,0.557109,0.310371,0.48455,0.234789,0.420048,40
9,306038,34004,0.554542,0.307517,0.491639,0.241709,0.423781,36
