fold,n_test,r,r2
1,34005,0.000765,1e-06
2,34005,0.004757,2.3e-05
3,34004,-0.000404,0.0
4,34004,0.002056,4e-06
5,34004,0.002657,7e-06
6,34004,0.007619,5.8e-05
7,34004,0.00514,2.6e-05
8,34004,0.000821,1e-06
9,34004,0.002187,5e-06
10,34004,0.00091,1e-06
